StockCode,Week,Quantity,Description
22197,2011-07-11,139,POPCORN HOLDER
22197,2011-07-18,608,POPCORN HOLDER
22197,2011-07-25,428,POPCORN HOLDER
22197,2011-08-01,2162,POPCORN HOLDER
22197,2011-08-08,1693,POPCORN HOLDER
22197,2011-08-15,509,POPCORN HOLDER
22197,2011-08-22,798,POPCORN HOLDER
22197,2011-08-29,873,POPCORN HOLDER
22197,2011-09-05,472,POPCORN HOLDER
22197,2011-09-12,364,POPCORN HOLDER
22197,2011-09-19,597,POPCORN HOLDER
22197,2011-09-26,1629,POPCORN HOLDER
22197,2011-10-03,775,POPCORN HOLDER
22197,2011-10-10,795,POPCORN HOLDER
22197,2011-10-17,1121,POPCORN HOLDER
22197,2011-10-24,2739,POPCORN HOLDER
22197,2011-10-31,1085,POPCORN HOLDER
22197,2011-11-07,1884,POPCORN HOLDER
22197,2011-11-14,1731,POPCORN HOLDER
22197,2011-11-21,2675,POPCORN HOLDER
22197,2011-11-28,2765,POPCORN HOLDER
22197,2011-12-05,3855,POPCORN HOLDER
22492,2010-11-29,468,MINI PAINT SET VINTAGE
22492,2010-12-06,1826,MINI PAINT SET VINTAGE
22492,2010-12-13,226,MINI PAINT SET VINTAGE
22492,2010-12-20,180,MINI PAINT SET VINTAGE
22492,2011-01-03,648,MINI PAINT SET VINTAGE
22492,2011-01-10,216,MINI PAINT SET VINTAGE
22492,2011-01-17,36,MINI PAINT SET VINTAGE
22492,2011-01-24,792,MINI PAINT SET VINTAGE
22492,2011-01-31,541,MINI PAINT SET VINTAGE
22492,2011-02-07,216,MINI PAINT SET VINTAGE
22492,2011-02-14,108,MINI PAINT SET VINTAGE
22492,2011-02-21,180,MINI PAINT SET VINTAGE
22492,2011-02-28,108,MINI PAINT SET VINTAGE
22492,2011-03-07,1260,MINI PAINT SET VINTAGE
22492,2011-03-14,792,MINI PAINT SET VINTAGE
22492,2011-03-21,252,MINI PAINT SET VINTAGE
22492,2011-03-28,396,MINI PAINT SET VINTAGE
22492,2011-04-04,324,MINI PAINT SET VINTAGE
22492,2011-04-11,216,MINI PAINT SET VINTAGE
22492,2011-04-18,792,MINI PAINT SET VINTAGE
22492,2011-04-25,180,MINI PAINT SET VINTAGE
22492,2011-05-02,216,MINI PAINT SET VINTAGE
22492,2011-05-09,792,MINI PAINT SET VINTAGE
22492,2011-05-16,468,MINI PAINT SET VINTAGE
22492,2011-05-23,288,MINI PAINT SET VINTAGE
22492,2011-05-30,108,MINI PAINT SET VINTAGE
22492,2011-06-06,360,MINI PAINT SET VINTAGE
22492,2011-06-13,759,MINI PAINT SET VINTAGE
22492,2011-06-20,216,MINI PAINT SET VINTAGE
22492,2011-06-27,72,MINI PAINT SET VINTAGE
22492,2011-07-04,396,MINI PAINT SET VINTAGE
22492,2011-07-11,792,MINI PAINT SET VINTAGE
22492,2011-07-18,396,MINI PAINT SET VINTAGE
22492,2011-07-25,252,MINI PAINT SET VINTAGE
22492,2011-08-01,288,MINI PAINT SET VINTAGE
22492,2011-08-08,180,MINI PAINT SET VINTAGE
22492,2011-08-15,792,MINI PAINT SET VINTAGE
22492,2011-08-22,324,MINI PAINT SET VINTAGE
22492,2011-08-29,1333,MINI PAINT SET VINTAGE
22492,2011-09-05,144,MINI PAINT SET VINTAGE
22492,2011-09-12,937,MINI PAINT SET VINTAGE
22492,2011-09-19,324,MINI PAINT SET VINTAGE
22492,2011-09-26,576,MINI PAINT SET VINTAGE
22492,2011-10-03,756,MINI PAINT SET VINTAGE
22492,2011-10-10,252,MINI PAINT SET VINTAGE
22492,2011-10-17,1332,MINI PAINT SET VINTAGE
22492,2011-10-24,756,MINI PAINT SET VINTAGE
22492,2011-10-31,216,MINI PAINT SET VINTAGE
22492,2011-11-07,1548,MINI PAINT SET VINTAGE
22492,2011-11-14,543,MINI PAINT SET VINTAGE
22492,2011-11-21,396,MINI PAINT SET VINTAGE
22492,2011-11-28,288,MINI PAINT SET VINTAGE
22492,2011-12-05,219,MINI PAINT SET VINTAGE
23084,2011-05-09,334,RABBIT NIGHT LIGHT
23084,2011-05-16,243,RABBIT NIGHT LIGHT
23084,2011-05-23,446,RABBIT NIGHT LIGHT
23084,2011-05-30,121,RABBIT NIGHT LIGHT
23084,2011-06-06,197,RABBIT NIGHT LIGHT
23084,2011-06-13,614,RABBIT NIGHT LIGHT
23084,2011-06-20,631,RABBIT NIGHT LIGHT
23084,2011-06-27,141,RABBIT NIGHT LIGHT
23084,2011-07-04,107,RABBIT NIGHT LIGHT
23084,2011-07-11,120,RABBIT NIGHT LIGHT
23084,2011-08-22,763,RABBIT NIGHT LIGHT
23084,2011-08-29,1134,RABBIT NIGHT LIGHT
23084,2011-09-26,18,RABBIT NIGHT LIGHT
23084,2011-10-03,363,RABBIT NIGHT LIGHT
23084,2011-10-10,2,RABBIT NIGHT LIGHT
23084,2011-10-24,5592,RABBIT NIGHT LIGHT
23084,2011-10-31,2558,RABBIT NIGHT LIGHT
23084,2011-11-07,1775,RABBIT NIGHT LIGHT
23084,2011-11-14,3256,RABBIT NIGHT LIGHT
23084,2011-11-21,1976,RABBIT NIGHT LIGHT
23084,2011-11-28,4052,RABBIT NIGHT LIGHT
23084,2011-12-05,2759,RABBIT NIGHT LIGHT
84077,2010-11-29,3408,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2010-12-06,480,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2010-12-13,1155,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2010-12-20,96,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-01-03,624,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-01-10,288,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-01-24,528,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-01-31,2833,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-02-07,48,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-02-14,384,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-02-21,240,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-02-28,1680,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-03-07,1200,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-03-14,480,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-03-21,192,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-03-28,3216,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-04-04,384,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-04-11,2448,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-04-18,1920,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-04-25,2592,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-05-02,912,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-05-09,1248,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-05-16,1008,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-05-23,576,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-05-30,1440,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-06-06,432,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-06-13,144,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-06-20,816,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-06-27,288,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-07-04,1008,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-07-11,1056,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-07-18,720,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-07-25,816,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-08-01,96,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-08-08,576,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-08-15,528,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-08-22,1056,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-08-29,240,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-09-05,432,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-09-12,1296,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-09-19,585,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-09-26,1005,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-10-03,989,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-10-10,724,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-10-17,975,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-10-24,5328,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-10-31,974,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-11-07,1157,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-11-14,1156,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-11-21,881,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-11-28,688,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84077,2011-12-05,1069,WORLD WAR 2 GLIDERS ASSTD DESIGNS
84879,2010-11-29,880,ASSORTED COLOUR BIRD ORNAMENT
84879,2010-12-06,749,ASSORTED COLOUR BIRD ORNAMENT
84879,2010-12-13,598,ASSORTED COLOUR BIRD ORNAMENT
84879,2010-12-20,40,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-01-03,480,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-01-10,410,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-01-17,123,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-01-24,336,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-01-31,937,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-02-07,152,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-02-14,564,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-02-21,328,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-02-28,189,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-03-07,626,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-03-14,968,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-03-21,375,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-03-28,465,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-04-04,745,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-04-11,815,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-04-18,444,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-04-25,248,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-05-02,586,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-05-09,1193,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-05-16,587,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-05-23,565,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-05-30,368,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-06-06,292,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-06-13,438,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-06-20,270,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-06-27,268,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-07-04,444,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-07-11,362,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-07-18,511,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-07-25,438,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-08-01,3736,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-08-08,1259,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-08-15,556,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-08-22,850,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-08-29,208,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-09-05,472,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-09-12,900,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-09-19,693,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-09-26,791,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-10-03,589,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-10-10,420,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-10-17,829,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-10-24,689,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-10-31,960,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-11-07,1724,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-11-14,1326,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-11-21,1021,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-11-28,921,ASSORTED COLOUR BIRD ORNAMENT
84879,2011-12-05,624,ASSORTED COLOUR BIRD ORNAMENT
85099B,2010-11-29,684,JUMBO BAG RED RETROSPOT
85099B,2010-12-06,810,JUMBO BAG RED RETROSPOT
85099B,2010-12-13,400,JUMBO BAG RED RETROSPOT
85099B,2010-12-20,162,JUMBO BAG RED RETROSPOT
85099B,2011-01-03,1370,JUMBO BAG RED RETROSPOT
85099B,2011-01-10,177,JUMBO BAG RED RETROSPOT
85099B,2011-01-17,545,JUMBO BAG RED RETROSPOT
85099B,2011-01-24,492,JUMBO BAG RED RETROSPOT
85099B,2011-01-31,935,JUMBO BAG RED RETROSPOT
85099B,2011-02-07,266,JUMBO BAG RED RETROSPOT
85099B,2011-02-14,959,JUMBO BAG RED RETROSPOT
85099B,2011-02-21,772,JUMBO BAG RED RETROSPOT
85099B,2011-02-28,612,JUMBO BAG RED RETROSPOT
85099B,2011-03-07,721,JUMBO BAG RED RETROSPOT
85099B,2011-03-14,1499,JUMBO BAG RED RETROSPOT
85099B,2011-03-21,1354,JUMBO BAG RED RETROSPOT
85099B,2011-03-28,844,JUMBO BAG RED RETROSPOT
85099B,2011-04-04,828,JUMBO BAG RED RETROSPOT
85099B,2011-04-11,600,JUMBO BAG RED RETROSPOT
85099B,2011-04-18,490,JUMBO BAG RED RETROSPOT
85099B,2011-04-25,362,JUMBO BAG RED RETROSPOT
85099B,2011-05-02,342,JUMBO BAG RED RETROSPOT
85099B,2011-05-09,1146,JUMBO BAG RED RETROSPOT
85099B,2011-05-16,961,JUMBO BAG RED RETROSPOT
85099B,2011-05-23,898,JUMBO BAG RED RETROSPOT
85099B,2011-05-30,253,JUMBO BAG RED RETROSPOT
85099B,2011-06-06,823,JUMBO BAG RED RETROSPOT
85099B,2011-06-13,931,JUMBO BAG RED RETROSPOT
85099B,2011-06-20,816,JUMBO BAG RED RETROSPOT
85099B,2011-06-27,788,JUMBO BAG RED RETROSPOT
85099B,2011-07-04,1289,JUMBO BAG RED RETROSPOT
85099B,2011-07-11,415,JUMBO BAG RED RETROSPOT
85099B,2011-07-18,692,JUMBO BAG RED RETROSPOT
85099B,2011-07-25,520,JUMBO BAG RED RETROSPOT
85099B,2011-08-01,1041,JUMBO BAG RED RETROSPOT
85099B,2011-08-08,1251,JUMBO BAG RED RETROSPOT
85099B,2011-08-15,1341,JUMBO BAG RED RETROSPOT
85099B,2011-08-22,1475,JUMBO BAG RED RETROSPOT
85099B,2011-08-29,644,JUMBO BAG RED RETROSPOT
85099B,2011-09-05,525,JUMBO BAG RED RETROSPOT
85099B,2011-09-12,688,JUMBO BAG RED RETROSPOT
85099B,2011-09-19,1612,JUMBO BAG RED RETROSPOT
85099B,2011-09-26,884,JUMBO BAG RED RETROSPOT
85099B,2011-10-03,2690,JUMBO BAG RED RETROSPOT
85099B,2011-10-10,901,JUMBO BAG RED RETROSPOT
85099B,2011-10-17,1020,JUMBO BAG RED RETROSPOT
85099B,2011-10-24,563,JUMBO BAG RED RETROSPOT
85099B,2011-10-31,998,JUMBO BAG RED RETROSPOT
85099B,2011-11-07,2145,JUMBO BAG RED RETROSPOT
85099B,2011-11-14,1559,JUMBO BAG RED RETROSPOT
85099B,2011-11-21,701,JUMBO BAG RED RETROSPOT
85099B,2011-11-28,981,JUMBO BAG RED RETROSPOT
85099B,2011-12-05,406,JUMBO BAG RED RETROSPOT
85123A,2010-11-29,968,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2010-12-06,989,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2010-12-13,1464,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2010-12-20,190,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-01-03,972,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-01-10,3324,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-01-17,612,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-01-24,531,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-01-31,577,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-02-07,511,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-02-14,363,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-02-21,371,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-02-28,338,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-03-07,440,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-03-14,459,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-03-21,347,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-03-28,572,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-04-04,371,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-04-11,474,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-04-18,2333,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-04-25,350,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-05-02,1133,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-05-09,852,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-05-16,688,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-05-23,993,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-05-30,621,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-06-06,385,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-06-13,386,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-06-20,199,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-06-27,252,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-07-04,245,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-07-11,1187,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-07-18,708,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-07-25,774,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-08-01,433,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-08-08,464,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-08-15,295,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-08-22,771,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-08-29,369,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-09-05,428,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-09-12,656,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-09-19,696,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-09-26,399,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-10-03,160,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-10-10,669,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-10-17,227,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-10-24,429,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-10-31,1695,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-11-07,573,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-11-14,1299,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-11-21,884,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-11-28,718,WHITE HANGING HEART T-LIGHT HOLDER
85123A,2011-12-05,638,WHITE HANGING HEART T-LIGHT HOLDER
